Name                                            Size        Params      Quant       Family          Modified    ID        
                                                                                                                          
qwq:32b-preview-q4_K_M                          18.49GB     32.8B       Q4_K_M      qwen2           2025-03-07  f6df522   
granite3.2-vision:2b-q8_0                       3.34GB      2.5B        Q8_0        granite         2025-03-04  9b6204c   
granite3.2:8b-instruct-Q8_0                     8.09GB      8.2B        Q8_0        granite         2025-02-26  1b54499   
ZimaBlueAI/Qwen2.5-VL-7B-Instruct:latest        4.36GB      7.62B       unknown     qwen2vl         2025-02-22  dccd480   
deepseek-r1:7b-qwen-distill-q6_k_l              6.07GB      7.6B        Q6_K        qwen2           2025-02-17  8c78ca4   
deepseek-r1:32b-qwen-distill-q6_k               25.04GB     32.8B       Q6_K        qwen2           2025-02-17  b115603   
deepseek-r1:70b-llama-distill-q3_k_l            34.59GB     70.6B       Q3_K_L      llama           2025-02-17  6a942d9   
deepseek-r1:32b-qwen-distill-q4_K_M             18.49GB     32.8B       Q4_K_M      qwen2           2025-02-17  7a1a3c2   
deepseek-r1:1.5b-qwen-distill-q8_0              1.76GB      1.8B        Q8_0        qwen2           2025-02-17  91ac0c9   
deepseek-r1:14b-qwen-distill-q6_k               11.29GB     14.8B       Q6_K        qwen2           2025-02-17  eec0f80   
yasserrmd/DeepScaleR-1.5B-Preview:latest        1.76GB      1.78B       unknown     qwen2           2025-02-16  c04af5f   
dolphin3.0-r1-mistral-24b:q6_k_l                16.00GB     23.6B       Q5_K_M      llama           2025-02-07  8d55535   
snowflake-arctic-embed2:latest                  1.08GB      566.70M     F16         bert            2025-02-05  5de93a8   
snowflake-arctic-embed2:568m-l-fp16             1.08GB      566.70M     F16         bert            2025-02-05  5de93a8   
mistral-small:22b-instruct-2409-q6_K            17.00GB     22.2B       Q6_K        llama           2025-02-04  15ad5f5   
qwen2.5:14b-instruct-q4_K_S                     7.98GB      14.8B       Q4_K_S      qwen2           2025-02-02  3002c3b   
fuseo1-deekseekr1-qwq-skyt1-32b-preview:q6_k    25.04GB     32.8B       Q6_K        qwen2           2025-02-02  cb80812   
bge-large:latest                                0.62GB      334.09M     F16         bert            2025-02-02  4019816   
sammcj/qwen2.5-coder-32b-128k:q6_k              25.04GB     32.8B       Q6_K        qwen2           2025-01-30  4539894   
deepseek-r1:671b-ud-iq1_s                       130.60GB    671.0B      IQ1_S       deepseek2       2025-01-28  5f37831   
calme-3.2-qwen-32b:iq3_xxs                      31.70GB     78.0B       IQ3_XXS     qwen2           2025-01-15  5b0e97b   
qwen2.5-coder-32b-instruct-128k:q5_k_m          21.66GB     32.8B       Q5_K_M      qwen2           2024-12-09  8550b39   
qwen2.5-72b-instruct:iq4_xs                     36.98GB     72.7B       IQ4_XS      qwen2           2024-12-09  ec898e4   
qwen2.5-coder-14b-instruct-128k:q6_k            11.29GB     14.8B       Q6_K        qwen2           2024-12-09  c074ad0   
qwen2.5-coder-32b-instruct-128k:q6_k            25.04GB     32.8B       Q6_K        qwen2           2024-12-09  4539894   
qwen2.5:7b-instruct-q6_K                        5.82GB      7.6B        Q6_K        qwen2           2024-12-09  80e7a50   
sammcj/mxbai-embed-large-v1:q8_0                0.33GB      334.09M     Q8_0        bert            2024-11-19  ed71f5e   
llama-3.2-11b-instruct:Q8_0                     11.49GB     9.8B        Q8_0        mllama          2024-11-19  440fdd6   
llama-3.2-3b-instruct:Q8_0                      11.49GB     9.8B        Q8_0        mllama          2024-11-19  440fdd6   
qwen2.5-coder-7b-instruct-128k:q6_k             5.82GB      7.6B        Q6_K        qwen2           2024-11-14  8bb6653   
qwen2.5-coder-3b-instruct-128k:q6_k             2.36GB      3.1B        Q6_K        qwen2           2024-11-14  cc39cf3   
llama3.2-vision:11b-instruct-q8_0               11.49GB     9.8B        Q8_0        mllama          2024-11-07  71632b5   
llama3.2:3b-instruct-q6_K                       2.46GB      3.2B        Q6_K        llama           2024-10-27  d076734   
qwen2.5-32b-instruct:Q6_K_L                     25.39GB     32.8B       Q6_K        qwen2           2024-10-14  2cbf836   
mxbai-embed-large:latest                        0.62GB      334.09M     F16         bert            2024-09-24  d2f3a04   
minicpm-v-2_6.gguf:Q8_0                         7.54GB      7.6B        Q8_0        qwen2           2024-09-10  c6901e4   
Losspost/stella_en_1.5b_v5:latest               5.75GB      1.5B        unknown     qwen2           2024-08-12  dd469fc   
nomic-embed-text:latest                         0.26GB      136.73M     F16         nomic-bert      2024-08-01  f0ce391   
snowflake-arctic-embed:latest                   0.62GB      334M        F16         bert            2024-06-13  21ab8b9   
